,timestep_int,age_bin,USER_gender,USER_eldership,count,timestep
160,908,"(59, 69]",Moteris,Rasos,2.0557162906087108,2024-06
161,908,"(59, 69]",Moteris,Viršuliškės,1.9956548903256266,2024-06
162,908,"(59, 69]",Moteris,Verkiai,8.146550698155139,2024-06
163,908,"(59, 69]",Moteris,Šnipiškės,3.07840691657173,2024-06
164,908,"(59, 69]",Moteris,Naujininkai,5.355875296165017,2024-06
165,908,"(59, 69]",Moteris,Vilkpėdė,3.0392236209960313,2024-06
166,908,"(59, 69]",Moteris,Paneriai,1.713595215811175,2024-06
167,908,"(59, 69]",Moteris,Grigiškės,0.9436365072406296,2024-06
168,908,"(69, 79]",Vyras,Justiniškės,2.036925570417811,2024-06
169,908,"(69, 79]",Vyras,Žirmūnai,4.338066948510473,2024-06
170,908,"(69, 79]",Vyras,Žvėrynas,0.4089875249301915,2024-06
171,908,"(69, 79]",Vyras,Pašilaičiai,5.087182144106604,2024-06
172,908,"(69, 79]",Vyras,Lazdynai,2.81557883502456,2024-06
173,908,"(69, 79]",Vyras,Naujamiestis,3.5088845071516186,2024-06
174,908,"(69, 79]",Vyras,Naujoji Vilnia,4.2488761456296995,2024-06
175,908,"(69, 79]",Vyras,Antakalnis,4.289670078714964,2024-06
176,908,"(69, 79]",Vyras,Senamiestis,2.4217308671872644,2024-06
177,908,"(69, 79]",Vyras,Fabijoniškės,3.94688338097205,2024-06
178,908,"(69, 79]",Vyras,Šeškinė,2.6817988663545016,2024-06
179,908,"(69, 79]",Vyras,Pilaitė,3.3210148529787915,2024-06
180,908,"(69, 79]",Vyras,Karoliniškės,1.7884110605203904,2024-06
181,908,"(69, 79]",Vyras,Rasos,0.1183180197771776,2024-06
182,908,"(69, 79]",Vyras,Viršuliškės,0.05825661949409344,2024-06
183,908,"(69, 79]",Vyras,Verkiai,6.209152427323607,2024-06
184,908,"(69, 79]",Vyras,Šnipiškės,1.1410086457401984,2024-06
185,908,"(69, 79]",Vyras,Naujininkai,3.418477025333484,2024-06
186,908,"(69, 79]",Vyras,Vilkpėdė,1.1018253501645,2024-06
187,908,"(69, 79]",Vyras,Paneriai,-0.22380305502035647,2024-06
188,908,"(69, 79]",Vyras,Grigiškės,-0.9937617635909017,2024-06
189,908,"(69, 79]",Moteris,Justiniškės,2.3678516235451674,2024-06
190,908,"(69, 79]",Moteris,Žirmūnai,4.66899300163783,2024-06
191,908,"(69, 79]",Moteris,Žvėrynas,0.7399135780575481,2024-06
192,908,"(69, 79]",Moteris,Pašilaičiai,5.418108197233963,2024-06
193,908,"(69, 79]",Moteris,Lazdynai,3.1465048881519166,2024-06
194,908,"(69, 79]",Moteris,Naujamiestis,3.839810560278977,2024-06
195,908,"(69, 79]",Moteris,Naujoji Vilnia,4.579802198757054,2024-06
196,908,"(69, 79]",Moteris,Antakalnis,4.620596131842323,2024-06
197,908,"(69, 79]",Moteris,Senamiestis,2.752656920314621,2024-06
198,908,"(69, 79]",Moteris,Fabijoniškės,4.277809434099407,2024-06
199,908,"(69, 79]",Moteris,Šeškinė,3.012724919481858,2024-06
200,908,"(69, 79]",Moteris,Pilaitė,3.65194090610615,2024-06
201,908,"(69, 79]",Moteris,Karoliniškės,2.119337113647747,2024-06
202,908,"(69, 79]",Moteris,Rasos,0.44924407290453416,2024-06
203,908,"(69, 79]",Moteris,Viršuliškės,0.38918267262145,2024-06
204,908,"(69, 79]",Moteris,Verkiai,6.540078480450962,2024-06
205,908,"(69, 79]",Moteris,Šnipiškės,1.471934698867555,2024-06
206,908,"(69, 79]",Moteris,Naujininkai,3.7494030784608405,2024-06
207,908,"(69, 79]",Moteris,Vilkpėdė,1.4327514032918565,2024-06
208,908,"(69, 79]",Moteris,Paneriai,0.1071229981070001,2024-06
209,908,"(69, 79]",Moteris,Grigiškės,-0.6628357104635452,2024-06
